,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq,monthcount
213,J23A,CI,2011-12-01,18.4,0.316018535292,17.5,,269.0,1.1612346212,87.0,23165.0
214,J23A,CI,2011-12-01,21.2,0.256665577238,14.5,,566.0,2.44334124757,87.0,23165.0
215,J23A,CI,2012-01-01,18.4,0.303808705558,32.5,0.0,0.0,0.0,73.0,14671.0
216,J23A,CI,2012-01-01,18.4,0.284433294123,28.5,,377.0,2.56969531729,73.0,14671.0
217,J23A,CI,2012-01-01,18.4,0.307967940574,17.5,,247.0,1.68359348374,73.0,14671.0
218,J23A,CI,2012-01-01,21.2,0.224609991299,14.5,,517.0,3.52395883035,73.0,14671.0
219,J23A,CI,2012-02-01,18.4,0.25945553793,32.5,0.0,0.0,0.0,46.0,9060.0
220,J23A,CI,2012-02-01,21.2,0.25831615122,31.5,,29.0,0.320088300221,46.0,9060.0
221,J23A,CI,2012-02-01,18.4,0.259548251525,30.5,0.0,0.0,0.0,46.0,9060.0
222,J23A,CI,2012-02-01,18.4,0.278786860271,17.5,,150.0,1.65562913907,46.0,9060.0
223,J23A,CI,2012-02-01,21.2,0.199927036351,15.5,,428.0,4.72406181015,46.0,9060.0
224,J23A,CI,2012-03-01,18.4,0.264321973693,38.5,0.0,0.0,0.0,37.0,5306.0
225,J23A,CI,2012-03-01,18.4,0.22866963215,33.5,0.0,0.0,0.0,37.0,5306.0
226,J23A,CI,2012-03-01,21.2,0.400241174404,32.5,,17.0,0.320392009046,37.0,5306.0
227,J23A,CI,2012-03-01,18.4,0.246520878162,29.5,,127.0,2.39351677346,37.0,5306.0
228,J23A,CI,2012-03-01,18.4,0.235427394016,18.5,,132.0,2.4877497173,37.0,5306.0
229,J23A,CI,2012-03-01,21.2,0.212532352915,15.5,,285.0,5.37127779872,37.0,5306.0
230,J23A,CI,2012-03-01,18.4,0.207886269222,13.5,0.0,0.0,0.0,37.0,5306.0
231,J23A,CI,2012-03-01,21.2,0.194110829378,12.5,0.0,0.0,0.0,37.0,5306.0
232,J06A,CI,2011-11-01,18.4,0.390912201254,39.5,0.0,0.0,0.0,34.0,9781.0
233,J06A,CI,2011-11-01,18.0,0.0,33.5,,0.0,0.0,34.0,9781.0
234,J06A,CI,2011-11-01,18.4,0.393714449952,24.5,0.0,0.0,0.0,34.0,9781.0
235,J06A,CI,2011-11-01,18.4,0.367916037664,18.5,,115.0,1.17574890093,34.0,9781.0
236,J06A,CI,2011-11-01,21.2,0.201607360845,15.5,,328.0,3.35344034352,34.0,9781.0
237,J06A,CI,2011-11-01,21.2,0.199514114249,11.5,0.0,0.0,0.0,34.0,9781.0
238,J06A,CI,2011-12-01,18.0,0.0,32.5,,0.0,0.0,32.0,49137.0
239,J06A,CI,2011-12-01,18.4,0.420583063038,27.5,0.0,0.0,0.0,32.0,49137.0
240,J06A,CI,2011-12-01,21.2,0.0,14.5,,0.0,0.0,32.0,49137.0
241,J06A,CI,2012-01-01,18.4,0.473349004617,32.5,,710.0,1.82336474999,42.0,38939.0
242,J06A,CI,2012-01-01,18.4,0.448102410773,27.5,0.0,0.0,0.0,42.0,38939.0
243,J06A,CI,2012-02-01,18.0,0.367966505067,33.5,,855.0,3.35992454906,75.0,25447.0
244,J06A,CI,2012-02-01,20.8,0.767322612148,15.5,,119.0,0.467638621449,75.0,25447.0
245,J06A,CI,2012-03-01,18.4,0.34369965031,33.5,,573.0,2.5001090798,95.0,22919.0
246,J06A,CI,2012-03-01,18.4,0.41424599231,18.5,,97.0,0.423229634801,95.0,22919.0
247,J06A,CI,2012-03-01,21.2,0.553133972546,15.5,,106.0,0.462498363803,95.0,22919.0
248,G30A,CI,2011-11-01,18.0,0.257978520192,32.5,,241.0,5.50605437514,24.0,4377.0
249,G30A,CI,2011-11-01,20.8,0.0,31.5,0.0,0.0,0.0,24.0,4377.0
250,G30A,CI,2011-11-01,18.4,0.0,25.5,0.0,0.0,0.0,24.0,4377.0
251,G30A,CI,2011-11-01,21.2,0.331977707098,20.5,0.0,0.0,0.0,24.0,4377.0
252,G30A,CI,2011-11-01,18.4,0.285362081291,17.5,,46.0,1.05094813799,24.0,4377.0
253,G30A,CI,2011-11-01,21.2,0.24397061975,14.5,,78.0,1.78204249486,24.0,4377.0
254,G30A,CI,2011-12-01,18.0,0.388514844458,32.5,,596.0,2.83539486204,105.0,21020.0
255,G30A,CI,2011-12-01,18.4,0.421541220451,17.5,,142.0,0.675547098002,105.0,21020.0
256,G30A,CI,2011-12-01,21.2,0.279616381819,14.5,,188.0,0.894386298763,105.0,21020.0
257,G30A,CI,2012-01-01,18.0,0.316106413427,39.5,0.0,0.0,0.0,84.0,31899.0
258,G30A,CI,2012-01-01,18.0,0.314824329022,32.5,,1053.0,3.30104391987,84.0,31899.0
259,G30A,CI,2012-01-01,18.0,0.397164266852,17.5,,189.0,0.592495062541,84.0,31899.0
260,G30A,CI,2012-01-01,21.2,0.203737498111,14.5,,292.0,0.915389197154,84.0,31899.0
261,G30A,CI,2012-02-01,18.0,0.285900363129,33.5,,496.0,4.78302796528,65.0,10370.0
262,G30A,CI,2012-02-01,18.4,0.0,29.5,0.0,0.0,0.0,65.0,10370.0
263,G30A,CI,2012-02-01,18.4,0.287852408218,25.5,0.0,0.0,0.0,65.0,10370.0
264,G30A,CI,2012-02-01,18.4,0.306859708907,20.5,0.0,0.0,0.0,65.0,10370.0
265,G30A,CI,2012-02-01,18.4,0.304650395693,18.5,,47.0,0.453230472517,65.0,10370.0
266,G30A,CI,2012-02-01,20.8,0.255737725744,15.5,,73.0,0.703953712633,65.0,10370.0
267,G30A,CI,2012-03-01,18.4,0.280589767605,39.5,0.0,0.0,0.0,63.0,7446.0
268,G30A,CI,2012-03-01,18.0,0.0,34.5,,0.0,0.0,63.0,7446.0
269,G30A,CI,2012-03-01,18.4,0.351663260811,19.5,,34.0,0.456621004566,63.0,7446.0
270,G30A,CI,2012-03-01,20.8,0.0,15.5,,0.0,0.0,63.0,7446.0
271,G03A,CI,2011-11-01,18.8,0.409762494264,33.5,,172.0,1.81587837838,26.0,9472.0
